RA,DEC,venn_code
253.01823946991615,-46.144041206428746,1
253.02063012625968,-46.14226870518818,1
253.0175074918572,-46.14094147462074,1
253.01573539700308,-46.14276004317957,1
253.0221150468661,-46.1413450682151,1
253.01604141181053,-46.14080171914881,1
253.01642137072884,-46.142527562899815,1
253.0169029572503,-46.14046396318079,1
253.0170230935272,-46.14356424348692,1
253.02037356058509,-46.14315231881952,1
253.0195701253469,-46.14289621188793,2
253.0142758291965,-46.14109165423015,3
253.01941336808204,-46.14275510093589,4
253.0193957279421,-46.14277537871816,4
253.01607227842376,-46.140844220042034,4
253.0190657773955,-46.14268371163568,4
253.02022921780255,-46.14229731998526,4
253.0187607038099,-46.140857321517714,4
253.0220975154401,-46.14353479085579,4
253.01979583555843,-46.14236315572674,4
253.0204060224329,-46.14249565186577,4
253.0194735053474,-46.14297871201121,4
253.0204958602637,-46.14415953991196,4
253.0192445846321,-46.14246510086779,4
253.0177583608088,-46.14414120065487,4
253.01722241210555,-46.14197452517927,4
253.01900964857515,-46.14285704480377,4
253.0145886691036,-46.139508334377126,5
253.0193993347269,-46.139505656494194,5
253.01657708998317,-46.13926395569039,5
253.01444439938413,-46.138947217151376,5
253.01607204632435,-46.13803060891736,5
253.018806034636,-46.13802509952493,5
253.0136587815596,-46.13782773622928,5
253.01840099326665,-46.14676120791737,5
253.01938730934083,-46.14535287871964,5
253.01997667009687,-46.14458898825423,5
253.01326548792628,-46.141744382632346,5
253.01363838956797,-46.141169401891474,5
253.0228793916146,-46.14488338074386,7
253.0180764000424,-46.13957787136313,7
